"WIND","IND","RAIN","IND.1","T.MAX","IND.2","T.MIN","T.MIN.G"
13.67,0,0.2,0,0.357,0,0.470,-1
11.5,0,5.1,0,0.271,0,0.489,1.1
11.25,0,0.4,0,0.208,0,0.352,-0.5
8.63,0,0.2,0,0.212,0,0.348,-3.2
10.67,0,0,0,0.245,0,0.378,-2
9.17,0,1.9,0,0.346,1,0.244,-7.1
14.29,0,0,0,0.249,0,0.448,0
11.42,0,0,0,0.245,0,0.444,0.5
7.54,0,0.5,0,0.375,1,0.219,-7.7
4.63,0,0,0,0.491,0,0.537,3.3
3.08,0,0,0,0.212,1,0.215,-6.1
2.5,0,0,0,0.167,1,0.148,-8.3
9.25,0,0,0,0.175,1,0.178,-8.3
13.42,0,2,0,0.349,0,0.452,-2.7
3.71,0,0.9,0,0.249,0,0.393,-2
8.04,0,0.2,0,0.379,0,0.393,0.4
9.38,0,0.3,0,0.245,0,0.537,1.3
13.7,0,0,0,0.245,0,0.537,2.2
9.25,0,0,0,0.164,0,0.415,1.1
14.33,0,0.7,0,0.487,0,0.415,-1.6
16.79,0,1.5,0,0.461,0,0.470,2.7
12.25,0,2.8,0,0.450,0,0.511,-2.2
14.5,0,1.4,0,0.294,0,0.470,0.8
14.88,0,4.7,0,0.271,0,0.411,-0.5
10.17,0,2.1,0,0.327,0,0.370,-2.2
10.88,0,0.1,0,0.305,0,0.370,1
8.5,0,4,0,0.305,1,0.311,-5
12.54,0,5.7,0,0.424,0,0.333,-1.1
19.17,0,0.5,0,0.294,0,0.411,1.5
14.21,0,0.3,0,0.435,0,0.452,0.7
16.5,0,4.4,0,0.546,0,0.496,2.4
14.37,0,0.3,0,0.439,0,0.570,3.2
11.08,0,0.8,0,0.401,0,0.604,3.1
17.5,0,3.5,0,0.424,0,0.604,3.8
11.71,0,0,0,0.580,0,0.596,4.3
16.08,0,0,0,0.476,0,0.659,6
15.46,0,0,0,0.498,0,0.704,7.7
5.17,0,0,0,0.517,0,0.426,-3.3
3.42,0,0,0,0.454,0,0.426,-2.6
6.17,0,0,0,0.439,0,0.496,-0.4
10.88,0,0,0,0.498,0,0.556,4.3
9.62,0,0,0,0.543,0,0.637,-0.4
7.25,0,0,0,0.491,0,0.530,-1.5
3.75,0,0,0,0.323,0,0.507,-2.1
8.25,0,0,0,0.283,0,0.522,2.5
16.38,0,4.6,0,0.331,0,0.522,2.2
8.17,0,0.7,0,0.413,0,0.559,4.4
13.08,0,3.2,0,0.368,0,0.433,-1.3
21.17,0,2.1,0,0.543,0,0.526,1
12.75,0,3.1,0,0.379,0,0.511,1.1
14.75,0,1,0,0.398,0,0.474,0.7
10.25,0,0.7,0,0.476,0,0.633,5
10.88,0,0,0,0.457,0,0.600,4.3
11.29,0,0,0,0.457,0,0.444,-1.6
6.21,0,0,0,0.442,0,0.437,0.5
5.5,0,0,0,0.643,0,0.333,-3.2
2.83,0,0,0,0.539,0,0.493,1.3
3.63,0,0,0,0.550,0,0.556,2.3
1.71,0,0,0,0.565,0,0.496,0.8
3.75,0,0,0,0.532,0,0.559,1.6
8.79,0,0,0,0.442,0,0.581,3.8
10.34,0,0,0,0.546,0,0.544,2.4
13.96,0,0,0,0.580,0,0.722,9
8.12,0,0,0,0.580,0,0.685,5
11.54,0,0,0,0.606,0,0.596,0.5
2.75,0,0,0,0.703,0,0.415,-1.2
13,0,0,0,0.364,0,0.411,-1.5
13.17,0,0.5,0,0.383,0,0.437,0.4
7.75,0,0,2,0.361,0,0.456,-1.6
15.41,0,0,0,0.442,0,0.419,-2.2
8.17,0,0,0,0.387,0,0.396,-1.7
8,0,0,0,0.476,0,0.448,-1.8
10.88,0,0,0,0.353,0,0.537,5
8.46,0,0,0,0.543,0,0.559,5.2
10.75,0,0,0,0.457,0,0.452,-1.6
13.75,0,0.3,0,0.442,0,0.644,5.5
6.75,0,0,0,0.439,1,0.304,-5
10.88,0,1.1,0,0.498,0,0.348,-2.6
16.62,0,1.8,0,0.550,2,0.611,5.5
14.79,0,1.8,0,0.517,0,0.685,8.6
11.92,0,1.1,0,0.543,0,0.596,2.7
11.67,0,2.5,0,0.513,0,0.659,7.7
5.25,0,0,0,0.387,0,0.526,5
5.5,0,2.6,0,0.249,0,0.459,3.2
9.25,0,4.2,0,0.535,0,0.507,4.2
5,0,0,0,0.442,0,0.630,6.3
5.33,0,0,0,0.383,0,0.374,-0.5
9.96,0,1.9,0,0.450,0,0.659,8.3
5.21,0,1.9,0,0.539,0,0.681,9
5.66,0,5.8,0,0.602,0,0.470,-0.2
8,0,0.1,0,0.561,0,0.667,3.1
4.29,0,0.5,0,0.546,0,0.593,3.3
2.46,0,0,0,0.476,0,0.459,0
2.88,0,0,0,0.457,0,0.419,-1.2
4.46,0,0,0,0.580,0,0.474,-0.8
5.66,0,0.2,0,0.401,0,0.581,3.6
12.96,0,3.7,0,0.435,0,0.615,-1.1
9.5,0,3.6,0,0.613,0,0.644,1.6
10.71,0,1.8,0,0.480,0,0.581,1.3
5.25,0,2.8,0,0.517,0,0.422,-2.2
6,0,0,0,0.606,0,0.581,-0.1
6.25,0,0,0,0.628,0,0.600,1.6
2.67,0,0,0,0.580,0,0.433,-2.6
4.04,0,4,0,0.587,0,0.596,3.8
9.5,0,0.4,0,0.580,0,0.607,6.6
5.96,0,2,0,0.625,0,0.722,7.8
9.13,0,0.7,0,0.602,0,0.563,3
16.83,0,0.8,0,0.580,0,0.674,6.2
18.21,0,2.3,0,0.498,0,0.585,4.6
18.58,0,0,0,0.561,0,0.600,5.5
7.25,0,0,0,0.625,0,0.533,2.7
3.33,0,0,0,0.639,0,0.411,-1
3.67,0,0,0,0.736,0,0.415,0.3
5.17,0,0,0,0.740,0,0.574,1.4
5.21,0,0.2,0,0.825,0,0.522,0.1
10.04,0,1.4,0,0.587,0,0.711,6.6
5.91,0,0,0,0.550,0,0.667,8.5
8.38,0,0,0,0.491,0,0.659,4.6
5.83,0,0,0,0.502,0,0.444,-0.4
5.04,0,0,0,0.476,0,0.493,-1.2
6.83,0,0,0,0.546,0,0.519,0.5
4.71,0,0,0,0.550,0,0.667,7.2
3.17,0,0,0,0.569,0,0.459,-0.7
2.42,0,0,0,0.539,0,0.563,1.1
3.13,0,0,0,0.543,0,0.681,8.7
4,0,0.2,0,0.546,0,0.719,10
6.79,0,1.6,0,0.476,0,0.633,8.4
9.33,0,0,0,0.398,0,0.504,2.2
4.92,0,0,0,0.468,0,0.452,-1.2
5.41,0,0,0,0.524,0,0.370,-2.8
11.71,0,1.8,0,0.498,0,0.674,7.5
5.83,0,0,0,0.532,0,0.704,8.1
6.58,0,0,0,0.636,0,0.622,3.3
9.75,0,0,0,0.636,0,0.519,3.2
7.92,0,0,0,0.665,0,0.722,10.1
10.41,0,0,0,0.699,0,0.767,10.8
6.21,0,0,0,0.777,0,0.752,10.5
4.21,0,0.3,0,0.625,0,0.759,10.6
8.17,0,4.8,0,0.662,0,0.659,6.6
9.54,0,0.7,0,0.580,0,0.615,6.1
8.29,0,1.8,0,0.643,0,0.559,4.4
9.71,0,1.6,0,0.587,0,0.719,9.6
6.25,0,3.6,0,0.621,0,0.667,8.4
9.17,0,1,0,0.509,0,0.722,9
4.67,0,0.2,0,0.673,0,0.563,3.2
5.66,0,1.2,0,0.703,0,0.570,2.2
8.25,0,0.1,0,0.703,0,0.819,10.4
10.54,0,0.2,0,0.732,0,0.619,4.7
12.96,0,0.8,0,0.747,0,0.889,14.4
13.7,0,0,0,0.658,0,0.685,7.2
10.37,0,0,0,0.647,0,0.656,6.4
7.92,0,0,0,0.621,0,0.656,8.7
10.54,0,1.6,0,0.725,0,0.600,2.1
13.29,0,0,0,0.691,0,0.763,11.5
14.21,0,0,0,0.836,0,0.763,9.4
14.88,0,0,0,0.859,0,0.759,6.7
11.87,0,2.8,0,0.807,0,0.781,11.4
8.38,0,0,0,0.569,0,0.763,11.5
10.54,0,0,0,0.625,0,0.559,3.5
8.79,0,0,0,0.729,0,0.633,2.4
8.33,0,0,0,0.829,0,0.744,8.5
4.92,0,0,0,0.874,0,0.763,9
6.71,0,0,0,0.725,0,0.907,14.4
5.83,0,0,0,0.751,0,0.781,11.5
15.75,0,0.6,0,0.684,0,0.685,7.2
14.92,0,0,0,0.680,0,0.726,9.8
10.08,0,0,0,0.747,0,0.596,4.5
7.08,0,0.1,0,0.755,0,0.630,4.4
14.54,0,0.2,0,0.792,0,0.837,12.2
14.04,0,0,0,0.684,0,0.867,13.7
7.41,0,5.4,0,0.651,0,0.807,12.8
9.08,0,0.4,0,0.710,0,0.826,10.1
11.83,0,0.1,0,0.651,0,0.641,8.6
